date,forex_reserves_usd
01-11-2021,599403730377.00
01-12-2021,594356484009.00
01-01-2022,591020180020.00
01-02-2022,590657717954.00
01-03-2022,564868349642.00
01-04-2022,554647525572.00
01-05-2022,562226718595.00
01-06-2022,548773984866.00
01-07-2022,534690412999.00
01-08-2022,520844755866.00
01-09-2022,495189249605.00
01-10-2022,496564013946.00
01-11-2022,513369416042.00
01-12-2022,521419383958.00
01-01-2023,530592718784.00
01-02-2023,521182628293.00
01-03-2023,533279818317.00
01-04-2023,544545952523.00
01-05-2023,545704729661.00
01-06-2023,551201105823.00
01-07-2023,560733750176.00
01-08-2023,553212330477.00
01-09-2023,544405448262.00
01-10-2023,542079544072.00
01-11-2023,556543068949.00
01-12-2023,574508789080.00
01-01-2024,572003913129.00
01-02-2024,577133114834.00
01-03-2024,593744011869.00
01-04-2024,584311156243.00
01-05-2024,595021554909.00
01-06-2024,595473433970.00
01-07-2024,612132483487.00
01-08-2024,620488463015.00
01-09-2024,640051704088.00
01-10-2024,612406993362.00
01-11-2024,592220818187.00
01-12-2024,569544279505.00
01-01-2025,559693630150.00
01-02-2025,565369204395.00
01-03-2025,590192646999.00
01-04-2025,604297172182.00
01-05-2025,607890834997.00
01-06-2025,614818165809.00
01-07-2025,605883894670.00
01-08-2025,608042145811.00
01-09-2025,602643684813.00
01-10-2025,587985149733.00
